TID|Genre|URL
70000001|Blues|/Genre/Blues
70000002|Brass & Military|/Genre/Brass & Military
70000003|Children's|/Genre/Children's|/Genre
70000004|Classical|/Genre/Classical
70000005|Electronic|/Genre/Electronic
70000006|Folk, World, & Country|/Genre/Folk, World, & Country
70000007|Funk / Soul|/Genre/Funk / Soul
70000008|Hip Hop|/Genre/Hip Hop
70000009|Jazz|/Genre/Jazz
70000010|Latin|/Genre/Latin
70000011|Non-Music|/Genre/Non-Music
70000012|Pop|/Genre/Pop
70000013|Reggae|/Genre/Reggae
70000014|Rock|/Genre/Rock
70000015|Stage & Screen|/Genre/Stage & Screen
